   28  imp crypto
   29  imp effect
   30  imp @opencode-ai/core/global
   31  imp @opencode-ai/core/util/log
   32  imp @/util/error
   33  imp ./request-diff
   38  imp ai
   39  imp ./message-v2
   41    c log
   45*   c CHECKPOINT_VERSION
   46*   c CHECKPOINT_KIND
   47    c CHECKPOINT_DIR
   48    c CHECKPOINT_SLOTS
   50*  if CheckpointData
   80    c memory
   82   fn memoryKey
   92*  fn identityFingerprint
  101*  fn isIdentityCompatible
  107   fn sanitize
  111*  fn checkpointDir
  115*  fn checkpointPath
  124   fn checkpointSlotPaths
  134   fn olderSlot
  146   fn isStructurallyValid
  156   fn tryLoadSlot
  177   fn writeAtomic
  189*  fn publish
  203   fn clearMemorySession
  211*  fn dropMemory
  224*  fn reusablePrefixLength
  242*  fn modelMessageEnd
  260*  fn takeModelPrefix
  274*  fn expandMessageIDs
  289*  fn persist
  320*  fn save
  334*  fn load
  382*  fn loadPrevious
  415*  fn remove
  436*  fn findLatest
  466*  fn clone
@compaction.ts
    1  fil compaction.ts
    1  imp @/bus/bus-event
    2  imp @/bus
    3  imp ./session
    4  imp ./schema
    5  imp @/provider/provider
    6  imp ./message-v2
    7  imp zod
    8  imp @opencode-ai/core/util/log
    9  imp @/config/config
   10  imp @/storage/storage
   11  imp @/provider/schema
   12  imp effect
   13  imp ./overflow
   14  imp @/effect/run-service
   15  imp @/util/fn
