   16  imp ./status
   17  imp ./incremental-checkpoint
   18  imp ./summary
   19  imp @/util/plan-status
   20  imp @/snapshot
   22    c log
   24*   c Event
   32*   c SUMMARY_INTERVAL_TOKENS
   33*   c MAX_SUMMARY_ATTEMPTS
   42*   c RECENT_MIN_TOKENS
   50*   c MAX_SUMMARY_BODY_TOKENS
   52    c CHARS_PER_TOKEN
   53    c SUMMARY_TERMINAL_MARKER
   59*   c LAYER1_SUMMARY_MARKER
   60*   c EXACT_SYSTEM_MARKER
   62*  fn isLayer1SummaryText
   67*  fn isLayer1SummaryMessage
   77*  fn formatExactSystemStamp
   98*  fn formatLayer1SummaryDisplay
  155*  fn isMessageStar
  171   fn messageText
  226   fn contentChars
  247   fn isSummaryAssistant
  268*  fn selectRecentTail
  306*  fn computeOutputSinceLastSummary
  320*  fn isSummaryRequestMessage
  330*  fn isTerminalSummaryRequestMessage
  340*  fn summaryTerminalMarker
  345*  fn summaryAttemptCount
  357*  fn layer1SummaryThreshold
  374*  fn computeOpenWindowTokens
  400*  fn hasFoldableContent
  410*  fn hasPendingSummaryRequest
  418    c MIN_SUMMARY_SECTION_CHARS
  426*  fn isValidSummaryBody
  431*  fn diagnoseSummaryGaps
  456*  fn gapFillRequest
  474*  fn mergeSummarySections
  506*  fn isAssistantTurnComplete
  521   if SemanticVector
  527*  fn extractSemanticVector
  540*  fn summaryRequestProse
  574   fn extractDecisions
  585   ty SummaryEntry
  586    p id
  587    p text
  588    p fromId
  589    p toId
  590    p diffs
  591    p impact
  592    p planState
  593    p sidecar
  599   fn renderSummaryBlock
  665    c TAIL_TOOL_KEEP_FULL
  666    c TAIL_TOOL_HEAD_LINES
  667    c TAIL_TOOL_TAIL_LINES
  669    c DECISIONS_MAX_CHARS
