index.tsx->ToolPart [references]
index.tsx->Capability [contains]
index.tsx->ApplyPatch [contains]
index.tsx->@/cli/ui.ts [contains]
index.tsx->@/cli/ui.ts [imports]
index.tsx->../../ui/toast [contains]
index.tsx->../../ui/toast [imports]
index.tsx->../../context/prompt [contains]
index.tsx->../../context/prompt [imports]
index.tsx->../../util/scroll [contains]
index.tsx->../../util/scroll [imports]
index.tsx->../../util/model [contains]
index.tsx->../../util/model [imports]
index.tsx->./permission [contains]
index.tsx->./permission [imports]
index.tsx->@tui/component/dialog-command [contains]
index.tsx->@/tool/task [contains]
index.tsx->@tui/ui/dialog-confirm [contains]
index.tsx->../../util/scroll-position [contains]
index.tsx->../../util/scroll-position [imports]
index.tsx->@opencode-ai/core/util/log [contains]
index.tsx->@tui/context/sync [contains]
index.tsx->@tui/context/theme [contains]
index.tsx->../../ui/dialog-export-options [contains]
index.tsx->../../ui/dialog-export-options [imports]
index.tsx->./dialog-fork-from-timeline [contains]
index.tsx->./dialog-fork-from-timeline [imports]
index.tsx->../../component/todo-item [contains]
index.tsx->../../component/todo-item [imports]
index.tsx->@/tool/webfetch [contains]
index.tsx->../../component/media-audio [contains]
index.tsx->../../component/media-audio [imports]
index.tsx->../../context/tui-config [contains]
index.tsx->../../context/tui-config [imports]
index.tsx->@/session/retry [contains]
index.tsx->../../component/media-video [contains]
index.tsx->../../component/media-video [imports]
index.tsx->@opentui/solid [contains]
index.tsx->@/tool/universalsearch [contains]
index.tsx->@/tool/pipeline [contains]
index.tsx->@tui/context/project [contains]
index.tsx->@/tool/multiedit [contains]
index.tsx->solid-js/web [contains]
index.tsx->@tui/context/local [contains]
index.tsx->@/tool/question [contains]
index.tsx->../../context/kv.tsx [contains]
index.tsx->@/tool/grep [contains]
index.tsx->path [contains]
index.tsx->@/util/error [contains]
index.tsx->@/util/wasm-embedded [contains]
index.tsx->@opentui/core [contains]
index.tsx->./dialog-restore [contains]
index.tsx->./dialog-restore [imports]
index.tsx->../../util/transcript [contains]
index.tsx->../../util/transcript [imports]
index.tsx->../../../../../../parsers-config.ts [contains]
index.tsx->../../../../../../parsers-config.ts [imports]
